"ENSG00000227634",0,0,0,0,0,0,1,0,0,2
"ENSG00000233645",0,0,0,0,0,0,0,0,0,0
"ENSG00000162426",156,177,487,806,666,136,790,857,647,724
"ENSG00000252254",1,4,1,2,0,0,3,1,1,1
"ENSG00000142599",1494,1917,4571,3737,3619,1282,5727,4710,3728,4581
"ENSG00000232912",4,5,11,4,3,5,13,11,6,10
"ENSG00000221083",42,123,51,17,8,46,27,8,19,19
"ENSG00000270282",3,12,18,6,3,2,13,11,13,6
"ENSG00000280851",0,1,1,0,0,0,0,0,1,0
"ENSG00000234619",0,3,3,1,0,0,1,3,2,1
"ENSG00000224315",8,10,8,14,5,6,10,7,12,11
"ENSG00000222511",1,0,1,2,1,0,2,1,2,1
"ENSG00000226545",17,42,13,15,7,3,16,7,20,6
"ENSG00000228423",28,73,47,27,14,22,21,28,32,16
"ENSG00000229716",0,0,0,0,1,0,0,0,1,1
"ENSG00000074800",5197,3126,8047,13553,11693,4111,16055,13724,12803,12971
"ENSG00000280816",6,8,12,13,15,10,18,29,26,20
"ENSG00000274258",1,0,0,0,0,0,0,2,0,0
"ENSG00000236269",4,7,9,12,6,0,5,7,12,10
"ENSG00000230679",2,2,2,1,2,3,1,0,3,0
"ENSG00000201725",0,0,0,0,0,0,0,1,0,1
"ENSG00000238249",0,0,0,0,0,0,0,0,0,0
"ENSG00000232208",1,0,0,1,0,1,1,0,0,0
"ENSG00000131686",0,0,1,0,0,0,0,0,1,0
"ENSG00000197241",0,0,0,0,0,0,0,0,0,0
"ENSG00000142583",97,244,204,152,329,469,280,118,450,123
"ENSG00000180758",23,30,25,42,36,21,45,60,61,42
"ENSG00000228526",81,61,68,186,178,68,138,175,218,125
"ENSG00000234546",14,20,11,20,11,16,6,15,26,9
"ENSG00000281937",3,5,2,7,13,1,9,9,17,11
"ENSG00000049239",691,639,866,938,783,530,1177,1030,1114,970
"ENSG00000171621",114,98,184,267,219,80,269,197,280,183
"ENSG00000252956",0,0,0,0,0,0,0,1,0,0
"ENSG00000235263",0,1,1,0,0,1,0,0,0,0
"ENSG00000171612",340,244,419,432,533,381,583,682,357,539
"ENSG00000231181",9,6,15,18,8,7,5,18,9,21
"ENSG00000188807",296,337,561,788,608,164,810,787,672,647
"ENSG00000171608",181,310,426,579,450,193,775,561,495,601
"ENSG00000179840",2,2,3,3,1,3,2,2,2,1
"ENSG00000233268",0,1,1,0,0,1,0,0,0,1
"ENSG00000231789",3,4,1,5,3,1,4,3,3,0
"ENSG00000171603",3322,2867,7246,17056,16713,2076,14736,21094,13590,18923
"ENSG00000271264",0,0,0,1,4,0,1,2,1,0
"ENSG00000280113",1,4,6,0,1,2,4,3,3,1
"ENSG00000178585",339,249,511,813,695,194,844,736,562,664
"ENSG00000162441",148,125,158,276,245,141,451,365,282,286
"ENSG00000228150",4,9,4,9,4,3,8,5,4,3
"ENSG00000173614",146,164,199,243,175,106,220,263,244,173
"ENSG00000202415",2,3,5,14,6,0,2,6,7,8
"ENSG00000265521",4,9,3,3,1,1,5,5,4,4
"ENSG00000162444",32,16,34,87,26,12,49,43,42,34
"ENSG00000130939",474,526,1165,1655,1590,331,1822,1875,1672,1663
"ENSG00000224340",0,0,2,2,2,0,0,1,1,0
"ENSG00000233623",5,5,8,8,4,1,2,1,2,2
"ENSG00000201746",6,4,5,12,7,2,7,15,14,8
"ENSG00000054523",3626,3364,5435,6752,9061,3504,12940,10388,7507,9589
"ENSG00000264881",1,5,3,1,2,2,0,0,1,1
"ENSG00000199562",109,267,187,86,27,91,109,40,69,33
"ENSG00000142657",431,336,899,943,1515,421,1398,1631,1845,1444
"ENSG00000271989",0,0,0,0,0,1,0,0,1,0
"ENSG00000251503",7,16,15,2,6,12,11,6,5,10
"ENSG00000175279",7,14,15,42,18,8,14,17,19,16
"ENSG00000241563",5,16,40,81,26,14,59,41,30,35
"ENSG00000160049",1299,1935,2356,1141,1001,1174,2139,1822,1958,1352
"ENSG00000142655",269,287,887,1325,1096,237,1122,1321,1095,1176
"ENSG00000243267",1,1,1,3,1,1,2,0,6,1
"ENSG00000130940",40,51,60,52,35,33,78,51,88,40
"ENSG00000272078",9,7,28,21,15,5,18,18,26,13
"ENSG00000175262",1,1,3,2,1,1,3,6,1,3
"ENSG00000215785",0,1,6,1,2,0,5,1,3,2
"ENSG00000264181",0,0,1,1,0,0,0,0,0,0
"ENSG00000281322",0,1,0,0,0,0,0,0,1,0
"ENSG00000120948",519,478,981,1252,1009,461,1465,1426,1336,1131
"ENSG00000009724",26,18,44,127,128,19,98,153,129,163
"ENSG00000271895",9,12,41,34,30,9,63,41,55,39
"ENSG00000116649",600,888,1966,1502,1116,611,1467,1495,1682,1302
"ENSG00000171824",330,229,748,918,892,247,922,1059,891,1033
"ENSG00000226849",4,4,16,18,11,2,20,9,5,5
"ENSG00000281350",11,20,18,9,9,5,13,15,7,11
"ENSG00000230337",3,5,4,5,4,3,5,6,4,5
"ENSG00000198793",426,318,764,1372,1298,388,1703,1658,1107,1577
"ENSG00000225602",1,1,2,5,2,1,1,1,0,1
"ENSG00000253086",0,0,0,0,0,0,0,0,0,0
"ENSG00000171819",4,1,7,12,25,1,7,16,8,6
"ENSG00000207451",1,0,1,0,0,0,1,1,0,0
"ENSG00000238173",0,0,0,1,1,0,0,1,0,0
"ENSG00000120942",215,209,226,268,222,149,380,378,269,329
"ENSG00000238199",2,5,3,3,1,0,2,1,2,3
"ENSG00000224338",3,1,0,2,1,1,0,1,1,1
"ENSG00000204624",118,112,353,407,310,114,295,400,262,373
"ENSG00000235643",1,0,1,2,0,1,0,0,3,1
"ENSG00000116661",2182,1639,4019,5980,4389,2389,12036,6060,5357,4829
"ENSG00000132879",1332,1968,5635,6361,5185,1214,6010,5778,5416,5715
"ENSG00000116663",89,120,241,225,241,100,269,356,282,251
"ENSG00000116670",210,163,471,365,344,163,504,357,525,347
"ENSG00000162490",17,39,62,68,44,31,54,92,102,100
"ENSG00000177674",215,159,402,194,178,135,326,224,365,191
"ENSG00000215910",0,0,2,0,1,0,1,0,0,0
"ENSG00000177000",523,595,1176,1038,839,398,1018,1058,964,883
